CustomerID,Segment,Value_Tier,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Avg,Recency_Percentile,Frequency_Percentile,Monetary_Percentile
13777.0,Champions,High Value,1,33,25977.16,5,5,5,555,5.0,1.0834485938220377,99.20470262793914,99.1470723835869
13755.0,Champions,High Value,4,9,2161.35,5,5,5,555,5.0,7.468879668049793,90.21438450899032,81.12033195020747
13756.0,Champions,High Value,2,14,5189.52,5,5,5,555,5.0,3.1466113416320884,95.40110650069157,94.07561088059013
13758.0,Champions,High Value,12,7,3190.55,5,5,5,555,5.0,18.983402489626556,85.5232826187183,88.15122176118027
13798.0,Champions,High Value,1,57,37153.85,5,5,5,555,5.0,1.0834485938220377,99.74642692485017,99.44674965421854
13784.0,Champions,High Value,10,11,2462.79,5,5,5,555,5.0,15.813739050253572,92.84232365145229,83.40248962655602
13767.0,Champions,High Value,2,37,17220.36,5,5,5,555,5.0,3.1466113416320884,99.35454126325496,98.8243430152144
13769.0,Champions,High Value,2,10,2796.51,5,5,5,555,5.0,3.1466113416320884,91.62056247118487,86.00737667127709
13576.0,Champions,High Value,10,18,6717.34,5,5,5,555,5.0,15.813739050253572,97.10696173351775,95.8967266021208
13571.0,Champions,High Value,13,12,2092.32,5,5,5,555,5.0,19.813278008298756,93.96035039188565,80.34808667588752
13854.0,Champions,High Value,9,25,8109.519999999999,5,5,5,555,5.0,14.200092208390963,98.46703550023052,96.93407100046105
13881.0,Champions,High Value,4,20,17159.52,5,5,5,555,5.0,7.468879668049793,97.6832641770401,98.8012909174735
13870.0,Champions,High Value,2,8,2770.94,5,5,5,555,5.0,3.1466113416320884,88.30106039649608,85.79990779160903
17857.0,Champions,High Value,4,23,26879.04,5,5,5,555,5.0,7.468879668049793,98.24804057169202,99.1931765790687
17858.0,Champions,High Value,6,12,5155.66,5,5,5,555,5.0,10.45412632549562,93.96035039188565,94.00645458736744
17861.0,Champions,High Value,3,8,2100.8,5,5,5,555,5.0,5.16366989396035,88.30106039649608,80.5440295066851
17841.0,Champions,High Value,2,124,40991.57,5,5,5,555,5.0,3.1466113416320884,99.95389580451821,99.49285384970032
17811.0,Champions,High Value,4,39,7837.73,5,5,5,555,5.0,7.468879668049793,99.45827570308899,96.74965421853389
17920.0,Champions,High Value,4,17,4204.1,5,5,5,555,5.0,7.468879668049793,96.73812816966344,92.0931304748732
17924.0,Champions,High Value,12,7,2962.5,5,5,5,555,5.0,18.983402489626556,85.5232826187183,86.95251267865376
12437.0,Champions,High Value,2,18,4951.41,5,5,5,555,5.0,3.1466113416320884,97.10696173351775,93.61456892577225
12433.0,Champions,High Value,1,7,13375.87,5,5,5,555,5.0,1.0834485938220377,85.5232826187183,98.45550945136009
17949.0,Champions,High Value,1,45,58510.48,5,5,5,555,5.0,1.0834485938220377,99.53895804518211,99.65421853388659
17954.0,Champions,High Value,5,12,2332.72,5,5,5,555,5.0,9.474412171507607,93.96035039188565,82.57261410788381
17937.0,Champions,High Value,9,7,4301.22,5,5,5,555,5.0,14.200092208390963,85.5232826187183,92.23144306131859
13949.0,Champions,High Value,3,6,2427.32,5,5,5,555,5.0,5.16366989396035,81.89257722452743,83.28722913785155
13953.0,Champions,High Value,7,7,3515.68,5,5,5,555,5.0,11.191793453204243,85.5232826187183,89.37298294144767
13994.0,Champions,High Value,4,6,2313.14,5,5,5,555,5.0,7.468879668049793,81.89257722452743,82.36514522821577
13999.0,Champions,High Value,10,12,3901.81,5,5,5,555,5.0,15.813739050253572,93.96035039188565,91.05578607653297
13985.0,Champions,High Value,4,15,7060.13,5,5,5,555,5.0,7.468879668049793,95.95435684647303,96.288612263716
13969.0,Champions,High Value,7,18,9053.94,5,5,5,555,5.0,11.191793453204243,97.10696173351775,97.32595666205624
13536.0,Champions,High Value,1,7,3448.29,5,5,5,555,5.0,1.0834485938220377,85.5232826187183,89.14246196403873
14051.0,Champions,High Value,1,23,15610.39,5,5,5,555,5.0,1.0834485938220377,98.24804057169202,98.63992623328724
14031.0,Champions,High Value,7,19,17286.86,5,5,5,555,5.0,11.191793453204243,97.40663900414937,98.87044721069617
14032.0,Champions,High Value,2,11,2975.59,5,5,5,555,5.0,3.1466113416320884,92.84232365145229,87.02166897187644
13534.0,Champions,High Value,2,25,5870.08,5,5,5,555,5.0,3.1466113416320884,98.46703550023052,95.0207468879668
17730.0,Champions,High Value,3,13,5298.4800000000005,5,5,5,555,5.0,5.16366989396035,94.8248040571692,94.2139234670355
17706.0,Champions,High Value,4,17,10504.49,5,5,5,555,5.0,7.468879668049793,96.73812816966344,97.76394651913324
12471.0,Champions,High Value,2,30,19824.05,5,5,5,555,5.0,3.1466113416320884,98.9972337482711,98.98570769940065
17735.0,Champions,High Value,2,19,13110.02,5,5,5,555,5.0,3.1466113416320884,97.40663900414937,98.38635315813738
17739.0,Champions,High Value,12,7,2791.35,5,5,5,555,5.0,18.983402489626556,85.5232826187183,85.93822037805441
12490.0,Champions,High Value,5,10,5417.93,5,5,5,555,5.0,9.474412171507607,91.62056247118487,94.39834024896265
17769.0,Champions,High Value,13,10,3997.98,5,5,5,555,5.0,19.813278008298756,91.62056247118487,91.37851544490549
17757.0,Champions,High Value,1,30,5605.29,5,5,5,555,5.0,1.0834485938220377,98.9972337482711,94.67496542185339
17744.0,Champions,High Value,4,6,2322.4,5,5,5,555,5.0,7.468879668049793,81.89257722452743,82.45735361917934
14085.0,Champions,High Value,2,18,4448.54,5,5,5,555,5.0,3.1466113416320884,97.10696173351775,92.62332872291378
14056.0,Champions,High Value,1,23,8214.65,5,5,5,555,5.0,1.0834485938220377,98.24804057169202,97.00322729368372
14060.0,Champions,High Value,5,19,6140.42,5,5,5,555,5.0,9.474412171507607,97.40663900414937,95.34347625633933
14062.0,Champions,High Value,10,12,10464.85,5,5,5,555,5.0,15.813739050253572,93.96035039188565,97.71784232365145
14088.0,Champions,High Value,10,13,50491.81,5,5,5,555,5.0,15.813739050253572,94.8248040571692,99.56201014292301
14092.0,Champions,High Value,8,14,4076.91,5,5,5,555,5.0,12.551867219917012,95.40110650069157,91.65514061779622
14096.0,Champions,High Value,4,17,65164.79,5,5,5,555,5.0,7.468879668049793,96.73812816966344,99.74642692485017
13468.0,Champions,High Value,2,37,5704.97,5,5,5,555,5.0,3.1466113416320884,99.35454126325496,94.85938220378054
14110.0,Champions,High Value,4,12,5683.15,5,5,5,555,5.0,7.468879668049793,93.96035039188565,94.83633010603964
14180.0,Champions,High Value,11,25,4748.52,5,5,5,555,5.0,17.50806823420931,98.46703550023052,93.22268326417704
14156.0,Champions,High Value,10,55,117379.63,5,5,5,555,5.0,15.813739050253572,99.71184877823882,99.86168741355463
14132.0,Champions,High Value,2,11,3586.03,5,5,5,555,5.0,3.1466113416320884,92.84232365145229,89.60350391885662
14135.0,Champions,High Value,2,15,4690.31,5,5,5,555,5.0,3.1466113416320884,95.95435684647303,93.10742277547257
14209.0,Champions,High Value,11,6,2073.43,5,5,5,555,5.0,17.50806823420931,81.89257722452743,80.1751959428308
14189.0,Champions,High Value,2,15,4654.08,5,5,5,555,5.0,3.1466113416320884,95.95435684647303,93.03826648224988
14191.0,Champions,High Value,2,13,4684.76,5,5,5,555,5.0,3.1466113416320884,94.8248040571692,93.08437067773167
14194.0,Champions,High Value,5,21,11349.52,5,5,5,555,5.0,9.474412171507607,97.9483633010604,98.06362378976486
14258.0,Champions,High Value,9,9,12669.98,5,5,5,555,5.0,14.200092208390963,90.21438450899032,98.3402489626556
14262.0,Champions,High Value,8,8,2618.23,5,5,5,555,5.0,12.551867219917012,88.30106039649608,84.716459197787
14243.0,Champions,High Value,9,10,2588.77,5,5,5,555,5.0,14.200092208390963,91.62056247118487,84.37067773167358
13435.0,Champions,High Value,5,7,3809.89,5,5,5,555,5.0,9.474412171507607,85.5232826187183,90.75610880590133
13426.0,Champions,High Value,1,10,3641.32,5,5,5,555,5.0,1.0834485938220377,91.62056247118487,89.97233748271093
14291.0,Champions,High Value,2,11,3883.25,5,5,5,555,5.0,3.1466113416320884,92.84232365145229,91.03273397879207
14292.0,Champions,High Value,8,9,4871.93,5,5,5,555,5.0,12.551867219917012,90.21438450899032,93.45320424158598
14298.0,Champions,High Value,8,44,51527.3,5,5,5,555,5.0,12.551867219917012,99.51590594744121,99.5850622406639
14282.0,Champions,High Value,3,15,3729.34,5,5,5,555,5.0,5.16366989396035,95.95435684647303,90.41032733978793
13458.0,Champions,High Value,7,14,9646.57,5,5,5,555,5.0,11.191793453204243,95.40110650069157,97.48732134624251
17611.0,Champions,High Value,7,15,3984.22,5,5,5,555,5.0,11.191793453204243,95.95435684647303,91.28630705394191
17602.0,Champions,High Value,2,6,5102.97,5,5,5,555,5.0,3.1466113416320884,81.89257722452743,93.91424619640387
12524.0,Champions,High Value,9,8,4485.72,5,5,5,555,5.0,14.200092208390963,88.30106039649608,92.73858921161826
